date,Affordability Index,\hspace{2mm} Monthly Payment (\$),\hspace{4mm} Median Home Price (\$),\hspace{4mm} Mortgage Rate (\%),\hspace{2mm} Median Monthly Earnings (\$)
2008-01-01,75.6776648106395,1221.6641657862256,232400.0,5.758,3078.6746186096657
2008-02-01,72.4752906754954,1311.9406557319273,245300.0,5.917500000000001,3166.2732364266103
2008-03-01,76.79297006615386,1233.314853535067,229300.0,5.969999999999999,3153.8400239677226
2008-04-01,71.6002047762561,1317.8237976858823,246400.0,5.917500000000001,3142.0699106519783
2008-05-01,75.20135944983724,1242.0729097977248,229300.0,6.036,3110.405526041712
2008-06-01,70.84193263032319,1307.978276098073,234300.0,6.32,3085.5683069449556
2008-07-01,68.28199093862439,1339.5308643700712,237300.0,6.425999999999999,3045.8122836193998
2008-08-01,74.23811568140299,1254.2415926672916,221000.0,6.477499999999999,3100.6473305470886
2008-09-01,77.68419264847681,1220.0598153382225,225200.0,6.0375000000000005,3156.152745855404
2008-10-01,81.11858295407532,1175.2054738855784,213200.0,6.2,3174.522390624974
2008-11-01,77.93675551967667,1206.986168876976,221600.0,6.0874999999999995,3132.483912447889
2008-12-01,81.7845729226089,1145.6856598877712,229600.0,5.2860000000000005,3120.1904328360415
2009-01-01,94.57501041897164,1013.2860354605343,208600.0,5.0475,3191.1901941239144
2009-02-01,93.84436722528943,1028.1909589293364,209700.0,5.13,3213.114666585321
2009-03-01,98.70593225988725,991.2010869862705,205100.0,5.0025,3257.986330688181
2009-04-01,92.69662609729615,1036.2526040986022,219200.0,4.81,3198.7021021431033
2009-05-01,90.5046210097017,1056.6627538413481,222300.0,4.8575,3184.574306980248
2009-06-01,87.85661532236271,1087.4595577585503,214700.0,5.419999999999999,3181.499184285834
2009-07-01,89.75864628944042,1061.1974509711788,214200.0,5.2219999999999995,3171.879833277762
2009-08-01,91.4658978464112,1022.6243757589818,207100.0,5.1925,3114.724047724421
2009-09-01,91.26839492817867,1053.3412631416538,216600.0,5.0575,3201.354321072016
2009-10-01,93.54314901496198,1033.5613344601427,215100.0,4.952,3219.5299781194194
2009-11-01,93.66502927390418,1042.1168344040993,218800.0,4.875,3250.409796582901
2009-12-01,91.48586641408563,1066.9140419298062,222600.0,4.93,3250.3315986595703
2010-01-01,94.01194368833588,1057.8138119712141,218200.0,5.029999999999999,3311.5895130419303
2010-02-01,90.3897517228933,1070.8662528434,221900.0,4.99,3223.284646273902
2010-03-01,91.24854675030399,1082.08245882125,224800.0,4.9675,3287.9904459867757
2010-04-01,96.39892498913252,1017.63756400695,208300.0,5.098000000000001,3266.702267721023
