date,Manufacturing,Mining,Electric and gas utilities,Durable manufacturing,Nondurable manufacturing,Consumer goods,Durable consumer goods,Automotive products,Nondurable consumer goods,Foods and tobacco,Chemical products,Consumer energy products,"Equipment, total",Transit equipment,Information processing and related equipment,Industrial equipment,Oil and gas well drilling and manufactured homes,Materials,Durable goods materials,Consumer parts,Equipment parts,Basic metals,Nondurable goods materials,Textile materials,Chemical materials,Energy materials,Nonindustrial supplies,Construction supplies,Business supplies,Motor vehicles and parts,Clothing,Paper products,Paper materials,Commercial energy products,Total index,"Food, beverage, and tobacco",Chemical
1992-08-01,63.6501,82.9273,73.0437,42.2814,95.0315,83.0153,62.2257,52.2731,91.976,89.7846,78.6004,67.4628,50.8591,63.0278,15.6707,77.7842,85.3946,54.0934,35.0862,57.8462,9.9417,102.385,100.468,208.007,89.1726,74.1706,76.8369,83.2924,73.8725,52.0898,657.766,160.875,126.541,62.7815,63.3917,85.9684,85.5855
1992-09-01,63.7446,83.4783,74.139,42.322,95.2722,82.6581,62.0094,51.5253,91.5536,88.3812,79.2725,67.6858,51.0123,61.4382,15.9102,78.4121,84.7595,54.5188,35.0657,57.3963,10.0295,100.259,101.789,211.447,90.0897,75.3701,77.0947,83.2527,74.2224,51.2815,658.691,161.222,129.29,63.1679,63.5927,85.1063,86.286
1992-10-01,64.1136,83.8928,75.3829,42.7937,95.3226,83.7588,63.3509,53.2466,92.5035,88.4253,80.5569,70.9025,51.2202,61.5454,16.245,78.0246,92.1201,54.8222,35.5187,58.8318,10.1502,102.353,101.376,210.496,90.2092,75.6624,77.1861,83.2305,74.3488,52.6889,660.172,160.637,127.052,64.0448,64.0282,85.2598,86.5876
1992-11-01,64.3456,83.8067,76.0306,43.0271,95.5357,83.9009,63.8911,53.6009,92.4352,88.1973,80.8463,70.6306,51.5326,61.2788,16.3834,79.519,97.2949,55.1197,35.7433,59.1432,10.2343,104.247,101.832,211.199,90.5451,76.0346,77.2503,82.9551,74.5205,52.7858,662.048,160.618,127.03,64.1508,64.2732,85.1578,86.8731
1992-12-01,64.3104,84.0648,77.2963,43.1922,94.8938,83.9175,64.5379,54.5744,92.1237,86.807,80.4389,72.3917,51.9331,62.089,16.3952,78.9054,99.1108,55.0724,35.6364,60.1957,10.2155,99.3002,101.345,211.67,90.1502,76.5547,77.6214,83.2849,74.9001,54.0742,661.518,162.2,127.092,65.0433,64.3668,83.7121,86.6272
1993-01-01,64.9203,83.6424,74.6828,43.5674,95.8409,84.4057,65.5303,55.4844,92.3392,88.0012,80.7472,69.1606,52.0919,62.361,16.4578,79.7046,107.722,55.2899,36.175,61.8103,10.2863,104.333,102.139,212.344,90.5175,75.1474,77.7577,83.5189,75.0033,55.2397,670.359,164.273,127.874,63.4317,64.6256,84.9409,87.016
1993-02-01,65.0936,83.263,76.7243,43.727,95.948,84.4988,65.2445,54.5409,92.628,87.8841,80.6,70.6951,52.0465,61.0485,16.5158,79.6215,105.228,55.6917,36.4524,62.5438,10.3153,105.146,102.264,213.046,90.2762,76.1354,78.4684,85.0462,75.4456,54.7352,673.545,164.553,128.496,64.488,64.929,85.0914,86.7274
1993-03-01,64.9763,82.7215,77.4948,43.8267,95.2691,84.5487,65.631,55.3578,92.5028,86.6143,81.4429,72.8125,51.9846,60.3704,16.6673,80.2782,99.5238,55.5221,36.4563,62.9066,10.3396,104.479,101.765,211.292,89.5312,75.6509,78.7166,84.3688,75.9844,55.3662,663.647,164.524,127.715,66.4494,64.872,84.1432,86.6482
1993-04-01,65.2909,82.8333,76.6054,44.0182,95.8681,84.6234,65.9317,55.657,92.4593,86.5386,81.6007,72.1081,52.2727,59.5659,16.9157,81.3087,100.591,55.7545,36.6332,63.3009,10.4089,104.508,102.872,216.149,90.1331,75.3372,78.7539,84.6373,75.9478,55.7192,666.168,165.388,130.345,64.8636,65.0611,83.9948,87.0722
1993-05-01,65.2077,82.8655,74.5174,44.0246,95.6379,84.0064,66.0233,55.8634,91.4898,86.4282,81.4505,67.9378,52.236,59.0579,16.88,82.0564,101.892,55.5412,36.6776,63.5343,10.4188,104.375,101.92,216.328,89.9142,74.8506,78.7168,85.6272,75.5859,55.8547,671.21,163.752,126.64,63.4923,64.8104,83.8199,86.9011
