date,RUT,MA
2019-11-19,1598.290039,1522.957316411067
2019-11-20,1591.609985,1523.2105968695653
2019-11-21,1583.959961,1523.5561301581026
2019-11-22,1588.939941,1524.0301615059288
2019-11-25,1621.900024,1524.5583037786562
2019-11-26,1624.22998,1525.0940742371542
2019-11-27,1634.099976,1525.6005565098815
2019-11-29,1624.5,1526.1208727747037
2019-12-02,1607.579956,1526.4260109209486
2019-12-03,1602.630005,1526.731307324111
2019-12-04,1613.900024,1527.0500029920947
2019-12-05,1614.829956,1527.3103587035575
2019-12-06,1633.839966,1527.9154573833994
2019-12-09,1629.619995,1528.5170777826088
2019-12-10,1631.709961,1529.2428485138341
2019-12-11,1631.930054,1529.989212458498
2019-12-12,1644.810059,1530.7982245296441
2019-12-13,1637.97998,1531.5202009486165
2019-12-16,1649.939941,1532.3788570355732
2019-12-17,1657.560059,1533.3541534782607
2019-12-18,1661.72998,1534.4750624308301
2019-12-19,1667.089966,1535.6209514110672
2019-12-20,1671.900024,1536.8963270790516
2019-12-23,1674.140015,1538.27237456917
2019-12-24,1678.01001,1539.797750237154
2019-12-26,1677.670044,1541.4212680237156
2019-12-27,1669.030029,1542.7620584189724
2019-12-30,1664.150024,1544.0756160395258
2019-12-31,1668.469971,1545.3821374901186
2020-01-02,1666.77002,1546.6398843715415
2020-01-03,1660.869995,1547.8452597114624
2020-01-06,1663.26001,1549.1592124940712
2020-01-07,1658.310059,1550.2562878260871
2020-01-08,1663.589966,1551.2769201225296
2020-01-09,1664.98999,1552.2193704822134
2020-01-10,1657.640015,1553.084311019763
2020-01-13,1669.609985,1553.9703977035574
2020-01-14,1675.73999,1554.873006339921
2020-01-15,1682.400024,1555.8595279407114
2020-01-16,1705.219971,1556.887195924901
2020-01-17,1699.640015,1557.8553384703557
2020-01-21,1685.900024,1558.7195678142293
2020-01-22,1684.459961,1559.5178285296442
2020-01-23,1685.01001,1560.417275403162
2020-01-24,1662.22998,1561.2392910948618
2020-01-27,1644.140015,1561.94968627668
2020-01-28,1658.310059,1562.6432043913044
2020-01-29,1649.219971,1563.3375914743083
2020-01-30,1648.219971,1564.0362872055337
2020-01-31,1614.060059,1564.538738264822
2020-02-03,1632.209961,1565.0635995968382
2020-02-04,1656.77002,1565.6751409841897
2020-02-05,1681.920044,1566.3248643241106
2020-02-06,1677.459961,1566.946326699605
2020-02-07,1656.780029,1567.4947852332018
2020-02-10,1667.670044,1568.1352596956522
2020-02-11,1677.51001,1568.8116233122532
2020-02-12,1689.380005,1569.4851411976285
2020-02-13,1693.73999,1570.0998052687746
2020-02-14,1687.579956,1570.6715049328063
2020-02-18,1683.52002,1571.2185801699604
2020-02-19,1692.569946,1571.7060107865614
2020-02-20,1696.069946,1572.186643098814
2020-02-21,1678.609985,1572.5698444861662
2020-02-24,1628.099976,1572.77755170751
2020-02-25,1571.900024,1572.7057729130433
2020-02-26,1552.76001,1572.5632826007907
2020-02-27,1497.869995,1572.2486186284584
2020-02-28,1476.430054,1571.8351008616598
2020-03-02,1518.48999,1571.6095670316206
2020-03-03,1486.079956,1571.200238735178
2020-03-04,1531.199951,1571.0253771146247
2020-03-05,1478.819946,1570.6717799486166
2020-03-06,1449.219971,1570.3255349881422
2020-03-09,1313.439941,1569.4947442213438
2020-03-10,1350.900024,1568.818934019763
2020-03-11,1264.300049,1567.6941120592887
2020-03-12,1122.930054,1566.0067606679843
2020-03-13,1210.130005,1564.6401598774703
2020-03-16,1037.420044,1562.6155750118578
2020-03-17,1106.51001,1560.8486579011858
2020-03-18,991.159973,1558.5847445375493
2020-03-19,1058.75,1556.623321652174
2020-03-20,1013.890015,1554.5313452924902
2020-03-23,1002.400024,1552.3178669920947
2020-03-24,1096.540039,1550.6997642055337
2020-03-25,1110.369995,1549.108894679842
2020-03-26,1180.319946,1547.7339931067193
2020-03-27,1131.98999,1546.1915425533598
2020-03-30,1158.319946,1544.702293422925
2020-03-31,1153.099976,1543.1740720237153
2020-04-01,1071.98999,1541.2607515928855
2020-04-02,1085.810059,1539.4128864268775
2020-04-03,1052.050049,1537.40158213834
2020-04-06,1138.780029,1535.7070763636364
2020-04-07,1139.170044,1533.9545466600791
2020-04-08,1191.660034,1532.4235586521738
2020-04-09,1246.72998,1531.1866018379446
2020-04-13,1212.040039,1529.7260879644268
2020-04-14,1237.329956,1528.375060063241
2020-04-15,1183.97998,1526.7907910158106
2020-04-16,1178.089966,1525.2054942648222
2020-04-17,1229.099976,1523.807509826087
2020-04-20,1213.349976,1522.4073121976285
2020-04-21,1185.089966,1520.902727083004
2020-04-22,1201.52002,1519.4856519090908
2020-04-23,1214.060059,1518.0191305375495
2020-04-24,1233.050049,1516.615652450593
2020-04-27,1281.880005,1515.4546643873518
