date,AVERAGE,MEDIAN
2011-07-01,361.12583458007634,307.15068209382
2011-08-01,345.4769463020592,292.5828669800702
2011-09-01,339.764882387423,288.68042082251674
2011-10-01,344.33307334567024,299.67508667482264
2011-11-01,333.549927065376,285.9189974804402
2011-12-01,351.6284005104754,292.37720940125496
2012-01-01,353.816536298061,295.22441135596586
2012-02-01,363.2696749142372,318.0598358099472
2012-03-01,373.16336053567693,315.53093743460977
2012-04-01,377.6803546515418,310.12030510463524
2012-05-01,368.9303674694864,314.1621356308335
2012-06-01,357.50278806682996,305.9424153949398
2012-07-01,371.91975172847265,312.7656714854389
2012-08-01,400.25739325198913,331.7354238016486
2012-09-01,388.3053546349073,332.08781756818075
2012-10-01,372.4066730936334,322.5610707384239
2012-11-01,381.1282428622932,321.2123133858336
2012-12-01,393.3316109250395,339.564021062626
2013-01-01,402.264497133924,329.64979155810323
2013-02-01,406.2771895970987,344.65306547901076
2013-03-01,389.2683739093452,333.8994213246382
2013-04-01,437.44159703437396,362.54432656290993
2013-05-01,406.8621520101312,341.68646332825347
2013-06-01,395.6763036179252,335.8271926819241
2013-07-01,426.27312282744566,338.7960376033836
2013-08-01,401.11096345514954,329.4840056953014
2013-09-01,414.3092236140236,347.7928703517846
2013-10-01,433.860332439862,341.5826209825902
2013-11-01,434.6187678327019,358.85834495364037
2013-12-01,416.00574643100805,356.816884002935
2014-01-01,435.23864464166627,348.1393012876417
2014-02-01,418.9791865610931,345.0568078336833
2014-03-01,423.4515368631319,360.6044309395539
2014-04-01,413.9117382061146,349.4886869811703
2014-05-01,410.44113493064316,362.35545018915514
2014-06-01,428.1676055097066,363.45490322770127
2014-07-01,437.32964197271775,355.2353175236097
2014-08-01,452.02051359669036,370.1695222239039
2014-09-01,404.63581466279607,331.59594338552546
2014-10-01,479.8957600670505,377.56037282096423
2014-11-01,445.94594306185445,381.2716389090031
2014-12-01,479.7250361991721,387.5592133281093
2015-01-01,449.8345312720629,377.12225992375073
2015-02-01,445.31746832423033,368.5474629561779
2015-03-01,446.5177084436238,366.3669488690025
2015-04-01,434.25785569676964,375.70193449676464
2015-05-01,426.7246828283678,364.91179748112955
2015-06-01,413.47223996178315,360.60243381188246
2015-07-01,431.53034602395104,369.6844083903895
2015-08-01,434.8021064469024,371.0953020359523
2015-09-01,453.1123545357121,379.9192334362983
2015-10-01,468.1644665696819,378.1865303273657
2015-11-01,474.62329861462234,397.55424208716755
2015-12-01,449.8348588944087,379.1374087305782
2016-01-01,460.1764473484273,367.4277060223877
2016-02-01,434.97501676430034,389.2752710755722
2016-03-01,455.03806292308474,384.3106982681874
2016-04-01,465.88468158203807,401.5464233619353
2016-05-01,439.38096233177504,370.9043754084644
2016-06-01,448.0865362752989,389.72758549154
2016-07-01,442.7918114267667,373.04896520770654
2016-08-01,445.0172664200391,374.58648530822217
2016-09-01,457.7023361002038,393.5664993289925
2016-10-01,439.7761096103488,378.0925780522817
2016-11-01,454.4679469490746,393.9389193422083
