date,EPOP,AAH,EPOP_sa,AAH_trend,AAH_sa,POP,EMP_sa,TOT_HRS,GDP,LPROD,LPROD_BLS,HRS_BLS,LPROD_idx,LPROD_BLS_idx,TOT_HRS_idx,GDP_idx,POP_idx,EPOP_sa_idx,AAH_trend_idx
2009-01-01,46.6864,36.96053333333333,47.2135,36.97726666666667,36.91983333333334,306.2366666666667,0.14458433333333334,278.01033333333334,21094905.459831867,75878.13448120706,88.902,89.014,116.84734350325883,124.8272957034541,100.5057638033631,117.43831507188962,108.86311740665211,94.95475854800983,97.22876655658163
2009-04-01,46.781933333333335,36.60136666666667,46.64666666666667,36.36513333333333,36.4126,306.866,0.14314266666666667,270.6806666666667,21057219.2106923,77793.58411520204,90.943,86.833,119.79701013484998,127.69306374613872,97.8559567335154,117.22851040560384,109.08683715027496,93.81475574576831,95.61921089351199
2009-07-01,46.56123333333333,35.25683333333333,46.25593333333333,36.436699999999995,35.7295,307.5726666666667,0.14227033333333333,269.56,21131170.563195594,78391.34353463272,92.391,85.747,120.71752038054962,129.72620050547602,97.45081546429768,117.64020801912534,109.33804787934302,93.02892141187384,95.80738972212288
2009-10-01,45.921699999999994,36.71016666666667,45.86783333333333,36.568933333333334,36.467166666666664,308.285,0.14140366666666668,268.8906666666667,21359580.270390928,79435.93035480689,93.643,85.743,122.32611547623027,131.48413367031733,97.20883935823309,118.91179708645541,109.5912730340687,92.24838318038321,96.15508670074395
2010-01-01,45.399699999999996,36.53456666666667,45.8855,36.71646666666667,36.496633333333335,308.9016666666667,0.14174133333333333,270.61966666666666,21463067.639838442,79310.8198831513,93.744,86.108,122.13345356700773,131.62594776748105,97.83390413022363,119.48792587367751,109.81048994386865,92.28391399397853,96.54301380620825
2010-04-01,46.0776,37.07866666666666,45.9264,36.80546666666667,36.88556666666667,309.4883333333333,0.14213699999999999,272.03333333333336,21670741.302885514,79662.08051544729,94.055,86.762,122.67437187030663,132.06262285874755,98.34497019885906,120.64407445749062,110.01904224724586,92.36617117941518,96.77703219111326
2010-07-01,46.19173333333333,36.272,45.91356666666667,36.806066666666666,36.7475,310.14799999999997,0.14240033333333332,272.5416666666667,21837841.124601852,80126.6147363468,94.663,87.168,123.38972406036224,132.9163156416737,98.5287418929569,121.57434274186605,110.25354509291833,92.3403610601054,96.77860984314634
2010-10-01,45.875033333333334,37.03806666666667,45.84473333333333,36.80453333333333,36.7914,310.81733333333335,0.14249333333333333,272.7093333333333,21952513.8690902,80497.84582274486,94.963,87.587,123.96139555133945,133.33754563324908,98.58935642550195,122.21274209013637,110.49148431177149,92.20192496562561,96.77457806572849
2011-01-01,45.502833333333335,36.737966666666665,45.94903333333334,36.84943333333334,36.698166666666665,311.376,0.14307433333333333,274.1546666666666,21900441.431154184,79883.52595792954,94.263,87.739,123.01538330742048,132.3546756529065,99.11187056688445,121.92284748100737,110.69008298248752,92.41169084437973,96.89263902620307
2011-04-01,45.95203333333333,37.0899,45.78746666666667,36.8982,36.9094,311.9406666666667,0.14282966666666666,274.048,22048615.939997673,80455.30688053799,94.321,88.621,123.89588837425482,132.43611345127772,99.07330863763114,122.74775587836042,110.89081457448815,92.0867514981601,97.02086707755738
