,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
"  Arts, entertainment, recreation, accommodation, and food services","471,175","477,459","485,086","490,485","505,104","509,608","511,485","519,576","527,225","530,009","535,551","541,709","539,135","541,565","545,231","545,569","532,711","530,282","533,693","535,336","541,869","553,705","561,085","568,255","570,586","579,918","586,453","590,832","613,090","619,201","623,936","634,709","643,146","646,441","655,165","664,389","669,938","686,222","701,628","709,943","728,449","741,648","753,671","764,325","775,751","783,677","797,167","805,269","813,683","823,355","837,231","840,402","849,676","867,410","874,252","883,994","891,885","904,966","924,123","929,900","848,359","479,680","694,657","715,507","760,390","880,556","964,931","1,016,013","1,009,198","1,036,261","1,080,514","1,123,637","1,178,416"
"    Arts, entertainment, and recreation","118,718","121,089","123,733","125,082","128,759","130,424","129,979","132,625","135,434","136,414","138,360","139,588","140,384","141,802","143,666","147,098","144,217","143,253","145,286","145,401","148,095","151,505","153,299","156,761","155,953","158,606","161,426","158,829","168,063","170,609","172,588","175,848","174,947","175,522","178,133","182,494","186,152","188,999","191,585","190,614","190,858","192,406","194,077","196,881","201,484","204,328","210,433","212,642","212,097","214,798","222,798","221,540","223,512","233,663","233,927","232,604","232,021","234,467","241,187","248,198","222,757","105,922","149,513","169,955","185,390","204,424","231,933","254,311","254,227","260,171","281,795","290,839","312,657"
"      Performing arts, spectator sports, museums, and related activities","64,461","65,926","68,222","69,631","72,636","73,848","73,268","74,187","74,879","74,764","76,040","76,732","77,848","80,104","82,456","85,590","84,367","84,265","85,268","85,325","85,800","86,826","88,036","90,774","89,676","92,004","96,601","93,744","99,602","101,048","102,276","104,096","102,502","102,921","104,176","108,587","111,398","113,034","113,641","112,105","111,615","112,875","112,751","114,452","117,429","119,741","125,254","126,503","126,043","126,899","133,470","132,077","132,257","141,750","140,972","138,207","137,139","138,099","143,249","147,847","132,572","63,946","80,386","99,127","108,577","116,268","139,627","157,813","162,782","167,584","186,684","192,780","209,941"
"      Amusements, gambling, and recreation industries","54,257","55,163","55,510","55,451","56,123","56,576","56,711","58,438","60,555","61,651","62,320","62,856","62,536","61,697","61,211","61,508","59,849","58,988","60,019","60,077","62,295","64,679","65,263","65,987","66,277","66,602","64,826","65,085","68,461","69,561","70,312","71,751","72,445","72,602","73,957","73,907","74,754","75,964","77,944","78,509","79,243","79,531","81,326","82,429","84,055","84,586","85,178","86,139","86,054","87,899","89,328","89,463","91,255","91,913","92,955","94,397","94,882","96,368","97,938","100,352","90,185","41,976","69,127","70,827","76,813","88,156","92,307","96,497","91,445","92,587","95,111","98,059","102,716"
    Accommodation and food services,"352,457","356,370","361,353","365,403","376,345","379,184","381,507","386,952","391,791","393,595","397,191","402,121","398,750","399,764","401,565","398,470","388,494","387,029","388,407","389,935","393,774","402,200","407,786","411,494","414,633","421,312","425,027","432,003","445,026","448,592","451,348","458,861","468,200","470,919","477,032","481,895","483,786","497,223","510,043","519,329","537,591","549,242","559,594","567,444","574,267","579,349","586,734","592,627","601,586","608,557","614,434","618,862","626,165","633,747","640,325","651,389","659,864","670,499","682,936","681,701","625,602","373,758","545,143","545,552","575,001","676,132","732,997","761,703","754,970","776,090","798,719","832,798","865,759"
      Accommodation,"106,913","108,201","109,813","110,594","113,917","115,109","116,132","118,627","121,688","123,223","125,429","127,659","126,342","125,157","123,519","118,891","109,911","106,938","105,817","106,731","106,866","111,487","114,411","115,784","118,472","121,328","122,889","125,449","126,489","128,787","129,303","130,983","134,844","135,952","137,738","138,991","138,628","141,279","144,863","147,754","153,864","156,882","159,579","159,929","159,118","159,220","160,473","162,017","165,073","167,160","168,617","169,892","172,731","175,300","173,994","178,891","180,058","182,297","186,263","186,984","170,434","74,218","115,224","114,401","120,125","155,373","182,208","192,007","188,154","195,345","201,364","208,955","212,583"
      Food services and drinking places,"245,545","248,169","251,540","254,810","262,428","264,074","265,375","268,324","270,103","270,372","271,762","274,462","272,408","274,607","278,045","279,579","278,583","280,091","282,590","283,204","286,908","290,713","293,375","295,710","296,161","299,984","302,138","306,554","318,537","319,804","322,045","327,878","333,355","334,967","339,294","342,904","345,159","355,944","365,179","371,575","383,728","392,359","400,015","407,515","415,149","420,129","426,261","430,610","436,513","441,397","445,816","448,970","453,433","458,447","466,331","472,499","479,806","488,202","496,674","494,717","455,168","299,540","429,919","431,152","454,876","520,759","550,789","569,696","566,817","580,745","597,355","623,843","653,176"
"  Other services, except government","305,596","308,544","312,485","315,660","320,820","324,861","325,761","328,477","330,691","330,080","331,202","330,204","328,984","328,665","330,142","333,530","328,159","326,521","324,898","325,899","322,638","326,918","331,093","332,125","330,350","332,529","334,288","337,004","343,799","347,540","350,331","352,663","353,555","354,273","356,774","362,034","365,222","374,037","382,485","385,494","388,282","391,983","392,295","393,992","397,546","399,164","401,731","403,383","405,914","409,343","416,360","421,899","428,253","435,291","439,090","443,022","444,225","448,371","456,491","465,447","459,473","375,281","435,874","443,885","444,318","463,191","479,971","491,926","503,551","509,938","526,482","546,738","559,867"
Government,"1,683,517","1,700,160","1,718,958","1,738,442","1,758,929","1,778,748","1,803,272","1,827,040","1,854,449","1,873,872","1,898,249","1,921,687","1,948,178","1,968,570","1,993,906","2,015,776","2,019,848","2,040,151","2,051,803","2,068,412","2,086,819","2,110,814","2,113,782","2,120,443","2,129,323","2,140,526","2,142,447","2,135,948","2,148,688","2,151,040","2,161,029","2,177,201","2,194,425","2,207,473","2,215,056","2,233,078","2,247,428","2,260,708","2,278,638","2,298,704","2,317,958","2,334,419","2,348,157","2,357,235","2,365,000","2,376,791","2,391,779","2,403,207","2,417,601","2,431,560","2,453,499","2,479,900","2,509,522","2,536,540","2,561,814","2,574,184","2,580,751","2,596,785","2,630,103","2,666,184","2,715,465","2,657,452","2,703,309","2,724,934","2,751,181","2,788,257","2,843,471","2,868,612","2,902,986","2,934,753","2,980,225","3,023,516","3,071,974"
  Federal,"543,743","547,931","553,066","560,353","568,071","572,249","578,434","583,439","589,778","597,760","607,265","612,774","619,668","627,588","636,619","644,961","650,027","660,899","666,873","675,507","687,213","699,892","699,706","702,964","708,827","712,077","713,637","714,461","715,075","714,770","714,194","711,502","706,533","704,054","698,365","706,271","710,918","713,698","717,540","721,155","726,676","729,372","733,236","735,836","737,392","740,412","744,969","749,248","753,187","756,295","761,741","768,798","777,159","785,277","792,177","796,555","801,828","805,701","812,574","819,246","830,644","843,542","859,734","863,660","874,364","883,878","892,427","899,384","907,999","913,749","923,747","935,495","947,760"
    General government,"479,915","485,313","490,743","497,432","501,755","506,392","513,181","518,237","524,995","531,575","539,750","546,659","555,055","564,202","573,964","583,018","589,079","600,340","606,349","616,219","627,612","641,863","642,839","647,660","655,174","659,187","661,738","662,909","663,469","663,842","664,173","663,168","659,522","658,706","653,722","661,684","664,111","665,814","668,008","669,455","671,361","672,112","674,647","676,513","677,822","682,344","686,086","689,287","692,265","694,388","699,115","705,589","713,539","721,683","729,090","734,334","740,446","744,698","751,076","756,345","765,013","776,578","791,991","795,797","806,222","816,175","823,831","831,136","841,783","850,065","859,772","865,878","872,580"
      National defense,"295,411","298,984","303,006","307,385","309,827","312,451","317,240","320,771","323,891","328,103","333,753","338,654","343,075","349,388","356,237","361,743","364,517","369,037","375,094","382,202","388,113","392,219","394,799","398,795","403,390","406,156","408,801","410,133","408,414","408,020","407,819","406,188","402,095","401,288","395,206","401,817","400,505","400,295","399,835","399,550","398,808","397,700","398,470","398,461","397,483","398,843","399,747","400,378","401,137","401,637","403,843","407,046","411,319","415,945","420,258","422,763","426,038","428,875","432,767","436,652","440,336","446,882","450,903","455,522","462,965","468,278","472,043","475,812","482,834","485,423","489,434","491,956","494,022"
      Nondefense,"184,504","186,329","187,737","190,048","191,928","193,942","195,941","197,465","201,103","203,472","205,997","208,005","211,979","214,813","217,726","221,276","224,562","231,303","231,255","234,017","239,499","249,645","248,040","248,864","251,783","253,031","252,937","252,776","255,056","255,823","256,353","256,980","257,427","257,418","258,516","259,867","263,606","265,519","268,172","269,905","272,553","274,412","276,177","278,053","280,339","283,501","286,340","288,910","291,129","292,751","295,272","298,542","302,220","305,738","308,832","311,571","314,408","315,823","318,309","319,693","324,677","329,696","341,088","340,275","343,257","347,896","351,788","355,324","358,949","364,642","370,338","373,922","378,558"
    Government enterprises,"63,828","62,619","62,323","62,920","66,316","65,856","65,253","65,203","64,784","66,185","67,514","66,115","64,613","63,387","62,656","61,943","60,949","60,559","60,524","59,288","59,601","58,029","56,867","55,305","53,654","52,889","51,900","51,552","51,606","50,927","50,021","48,334","47,011","45,348","44,643","44,587","46,807","47,884","49,532","51,700","55,314","57,260","58,589","59,323","59,570","58,068","58,882","59,960","60,922","61,907","62,626","63,209","63,620","63,594","63,087","62,221","61,381","61,004","61,498","62,901","65,631","66,964","67,743","67,864","68,142","67,703","68,597","68,248","66,216","63,684","63,975","69,617","75,180"
  State and local,"1,139,773","1,152,229","1,165,892","1,178,090","1,190,859","1,206,500","1,224,838","1,243,601","1,264,671","1,276,112","1,290,984","1,308,914","1,328,510","1,340,982","1,357,287","1,370,815","1,369,820","1,379,252","1,384,930","1,392,906","1,399,606","1,410,922","1,414,076","1,417,479","1,420,495","1,428,449","1,428,810","1,421,486","1,433,613","1,436,270","1,446,835","1,465,698","1,487,891","1,503,419","1,516,691","1,526,807","1,536,510","1,547,010","1,561,098","1,577,548","1,591,283","1,605,047","1,614,921","1,621,399","1,627,608","1,636,380","1,646,810","1,653,959","1,664,415","1,675,265","1,691,757","1,711,102","1,732,363","1,751,263","1,769,637","1,777,629","1,778,924","1,791,083","1,817,530","1,846,938","1,884,821","1,813,910","1,843,576","1,861,273","1,876,817","1,904,379","1,951,044","1,969,228","1,994,988","2,021,005","2,056,478","2,088,021","2,124,215"
    General government,"1,049,686","1,060,668","1,073,273","1,084,565","1,096,810","1,112,098","1,130,195","1,149,104","1,170,550","1,182,462","1,197,241","1,214,489","1,232,842","1,244,541","1,259,504","1,271,629","1,270,180","1,278,342","1,283,132","1,290,449","1,297,179","1,307,129","1,309,054","1,311,010","1,312,020","1,317,718","1,315,978","1,306,730","1,316,475","1,317,269","1,325,906","1,342,265","1,361,828","1,376,079","1,388,345","1,397,431","1,404,953","1,413,635","1,425,769","1,440,174","1,452,100","1,464,351","1,473,363","1,479,455","1,485,379","1,493,950","1,504,102","1,511,116","1,521,735","1,532,102","1,547,174","1,564,279","1,582,441","1,599,585","1,617,224","1,625,931","1,629,515","1,641,141","1,664,628","1,688,460","1,721,242","1,678,807","1,706,066","1,708,053","1,722,367","1,747,021","1,789,832","1,807,163","1,831,007","1,855,589","1,888,440","1,916,801","1,950,253"
    Government enterprises,"90,089","91,567","92,621","93,525","94,049","94,402","94,644","94,497","94,121","93,650","93,744","94,424","95,668","96,441","97,782","99,185","99,640","100,910","101,799","102,457","102,427","103,793","105,022","106,469","108,475","110,731","112,832","114,756","117,138","119,001","120,929","123,433","126,064","127,341","128,346","129,376","131,557","133,375","135,329","137,374","139,183","140,696","141,558","141,945","142,229","142,429","142,708","142,843","142,680","143,163","144,583","146,823","149,921","151,678","152,413","151,697","149,409","149,942","152,901","158,478","163,579","135,102","137,509","153,221","154,451","157,357","161,212","162,066","163,980","165,415","168,038","171,220","173,962"
      Private goods-producing industries\1\,"2,624,878","2,652,668","2,729,156","2,789,059","2,866,694","2,892,963","2,890,321","2,910,288","2,943,371","3,035,739","3,044,695","3,060,693","2,986,494","3,051,321","3,043,534","2,877,983","2,699,461","2,628,784","2,648,919","2,705,799","2,713,943","2,749,529","2,795,767","2,848,038","2,872,049","2,931,001","2,946,415","2,995,118","3,023,958","3,024,389","3,026,706","3,040,169","3,145,043","3,157,642","3,214,187","3,235,226","3,222,197","3,317,525","3,360,920","3,327,749","3,262,502","3,283,178","3,292,372","3,234,566","3,195,664","3,225,007","3,241,825","3,275,447","3,373,555","3,408,186","3,458,238","3,564,531","3,614,393","3,672,376","3,698,932","3,727,524","3,692,630","3,732,823","3,744,396","3,754,486","3,663,616","3,174,386","3,543,539","3,616,068","3,771,193","3,924,600","4,002,104","4,232,527","4,386,973","4,586,432","4,634,190","4,684,725","4,657,733"
      Private services-producing industries\2\,"8,458,892","8,569,827","8,694,528","8,796,703","8,973,539","9,081,714","9,176,595","9,302,232","9,417,831","9,492,474","9,621,173","9,732,677","9,771,867","9,845,812","9,861,561","9,714,449","9,711,596","9,712,301","9,748,160","9,877,035","9,963,851","10,119,850","10,232,055","10,340,987","10,350,072","10,486,008","10,558,820","10,711,202","10,896,179","11,031,702","11,131,804","11,203,018","11,289,583","11,334,436","11,481,823","11,664,809","11,674,657","11,884,472","12,103,669","12,226,090","12,410,886","12,576,109","12,666,433","12,740,275","12,864,643","13,009,820","13,141,856","13,289,387","13,357,039","13,464,760","13,650,161","13,850,320","14,031,570","14,261,282","14,426,533","14,517,561","14,739,705","14,942,840","15,157,341","15,285,862","15,158,952","13,804,895","15,115,578","15,363,706","15,791,475","16,334,078","16,704,844","17,247,981","17,450,523","17,727,290","18,109,526","18,429,751","18,800,067"
