Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2002:Q2,Other,1756735,759343,650109,109234,997392,125255,27278,9241,7036,2205,6094,1299,4795,177536,29542,28315,97237,247407,228831,20656,354727,354112,259265,92056,-465,3255,615,1402007,4691200
2002:Q3,White,45265337,16757976,13756139,3001837,28507362,3520246,1376890,1229404,694578,534826,733482,633639,99843,5788443,819460,717953,2004459,6818839,5050622,447563,6676356,6659107,4838217,1515954,-11020,315956,17249,38588982,80470594
2002:Q3,Black,2325879,994433,770640,223793,1331446,130191,15458,14968,8020,6948,74,0,74,76259,83045,69794,114558,700400,91802,34899,632453,630690,399200,226839,-367,5018,1763,1693426,14076240
2002:Q3,Hispanic,1366725,698567,546635,151933,668158,79593,10200,8901,4340,4561,11,0,11,65949,33102,35840,66330,257201,88680,22351,417581,416869,302266,114857,-254,0,712,949144,8923108
2002:Q3,Other,1740666,788817,675595,113222,951849,129077,26522,7370,6689,681,5466,1129,4337,139110,30501,27127,89426,248379,227318,21553,377104,376442,279477,93959,-505,3512,662,1363561,4802250
2002:Q4,White,46178814,17058051,14029618,3028434,29120762,3559335,1446590,1312771,643752,669019,723682,621633,102049,6128628,822467,749142,2092875,6905031,4915322,464920,6840449,6823233,4978258,1547035,-17461,315401,17216,39338364,80502162
2002:Q4,Black,2407660,1024084,804242,219843,1383576,132572,16283,14037,7606,6431,80,0,80,83446,83062,76251,126845,721620,92271,37109,654573,652835,414678,234173,-493,4477,1738,1753087,14217761
2002:Q4,Hispanic,1416773,736714,576301,160413,680059,80112,10869,10154,4351,5803,10,0,10,70353,34010,36900,66553,260715,86532,23851,441014,440287,321713,118998,-425,0,727,975759,9094098
2002:Q4,Other,1788268,823133,705638,117495,965135,132253,26953,6256,6256,0,4733,857,3875,148272,31707,27788,93915,251776,218605,22877,402337,401651,301664,96802,-719,3904,686,1385931,4933810
2003:Q1,White,46381846,17350881,14313598,3037283,29030965,3721086,1397105,1232817,614072,618745,738122,634572,103550,5799661,835575,761681,2096884,6953060,5020693,474280,6965121,6946815,5096387,1538888,-16911,328451,18306,39416725,80534970
2003:Q1,Black,2479046,1054686,832984,221703,1424359,136600,17178,14380,7390,6990,70,0,70,84638,83868,80235,129985,737426,101868,38110,664134,662258,427202,230912,-448,4593,1876,1814911,14344092
