Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
2016:Q3,pct60to80,15911037,5611814,4502487,1109327,10299223,1174884,217566,330268,327624,2644,67135,55193,11942,1394345,251599,606758,1069246,4231852,685781,269788,3228387,3223024,2190522,930858,61309,40335,5363,12682650,25197908,67758,111576
2016:Q3,pct40to60,8633421,3601231,2860118,741114,5032189,946358,100471,225171,224031,1140,52122,46615,5507,585351,147140,190205,360162,1956186,284293,184729,1848876,1845783,1119767,693031,25716,7269,3093,6784545,25195710,41328,67741
2016:Q3,pct20to40,4775671,2305983,1795213,510770,2469689,549411,50393,92459,91930,529,16841,15179,1662,278098,83265,44562,116398,869145,236651,132465,1050506,1048766,563374,454109,15202,16080,1740,3725166,25195210,23297,41327
2016:Q3,pct00to20,2684572,1316530,1005087,311443,1368042,236545,20614,49779,49365,414,44921,40847,4074,273997,65888,11222,40376,190424,366525,67750,659567,658202,284846,285446,9725,78184,1365,2025005,25195755,0,23297
2016:Q4,pct99to100,22645486,4140338,3405843,734495,18505148,2251342,288166,1051117,1051117,0,364575,336923,27651,8610564,342942,66199,994861,369566,4079459,86358,1059749,1054374,686230,125106,47648,195390,5375,21585738,1261767,,
2016:Q4,pct80to99,48606918,12912497,11200527,1711969,35694421,4196421,820770,1320286,1320286,0,524127,484904,39223,9994866,730110,1238457,3974450,7977185,4523720,394029,6051444,6036583,4723746,1083592,68623,160622,14861,42555474,23980942,,
2016:Q4,pct60to80,16057795,5682729,4566848,1115881,10375066,1217036,214850,313354,313354,0,63569,51394,12175,1432412,251892,596712,1066955,4254437,691665,272186,3265026,3259727,2202609,958303,58163,40652,5299,12792769,25243406,,
2016:Q4,pct40to60,8676232,3612800,2861944,750856,5063432,949038,98785,209684,209684,0,50047,44641,5406,593014,145208,191354,367752,1990745,279042,188762,1874321,1871186,1125346,712945,24903,7992,3134,6801912,25240956,,
2016:Q4,pct20to40,4844719,2354489,1842520,511969,2490230,564284,49141,90398,90398,0,16998,14906,2091,281347,84217,43049,117438,872735,235585,135039,1074538,1072795,569302,471430,14667,17396,1744,3770180,25240626,,
2016:Q4,pct00to20,2734820,1336751,1025194,311557,1398069,256321,22649,45931,45931,0,40895,36937,3958,283280,63124,11073,40985,198102,365202,70507,655287,654002,284699,285059,9293,74951,1285,2079533,25241159,,
