Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1998:Q4,pct20to40,2622092,3053560,1005951,293411,265121,567635,78843,192377,650221,431468,250905,171514,9049
1998:Q4,pct00to20,1217910,1405077,539321,143272,90212,199163,14098,107434,311577,187167,87941,93620,5606
1999:Q1,pct99to100,7336572,7714885,972522,269842,2834776,225454,329800,1323090,1759400,378313,246181,26311,105821
1999:Q1,pct80to99,16264956,18803649,4127896,1072260,3947037,2870424,1871892,2036885,2877255,2538693,1912756,436052,189885
1999:Q1,pct60to80,6372295,7911825,2270496,633532,884898,1792114,798644,413316,1118826,1539531,1078670,408753,52108
1999:Q1,pct40to60,3719044,4581109,1450167,445871,416302,943048,299921,270478,755323,862066,546165,301717,14184
1999:Q1,pct20to40,2634893,3071342,1026810,297225,261853,569841,81636,192602,641375,436449,254732,172125,9592
1999:Q1,pct00to20,1202158,1394511,541446,142539,95107,198480,13235,102797,300907,192353,89133,97441,5779
1999:Q2,pct99to100,7603742,7992339,999941,283463,3063771,224486,348807,1358608,1713262,388597,251768,29412,107417
1999:Q2,pct80to99,16858747,19484257,4276537,1084280,4284297,2953480,1959009,2093831,2832823,2625510,1966409,444179,214922
1999:Q2,pct60to80,6509486,8070370,2320018,640925,948482,1798311,830080,415737,1116816,1560884,1096853,414051,49980
1999:Q2,pct40to60,3779211,4659657,1473430,445604,445907,961300,314285,268015,751115,880446,558645,306439,15362
1999:Q2,pct20to40,2650178,3096560,1046846,304685,268258,572201,85944,192514,626112,446382,259253,177159,9970
1999:Q2,pct00to20,1203558,1399803,546711,145887,105940,197964,12281,99342,291678,196245,90762,100341,5142
1999:Q3,pct99to100,7456922,7857690,1032132,287421,2825466,222146,342573,1429129,1718823,400768,259882,33399,107487
1999:Q3,pct80to99,16874167,19574882,4393807,1104289,4102244,3021793,1906547,2186678,2859524,2700715,2028341,455482,216892
1999:Q3,pct60to80,6514485,8102189,2378262,650851,918855,1796833,799122,424734,1133532,1587704,1118509,423021,46174
1999:Q3,pct40to60,3812041,4715876,1512387,451771,440056,976721,303430,274550,756961,903835,575408,313231,15196
1999:Q3,pct20to40,2657382,3117104,1080115,309902,258242,574188,84643,192484,617529,459722,265052,184437,10233
1999:Q3,pct00to20,1199115,1400586,556467,146468,105730,196962,12001,96802,286156,201471,94067,102325,5079
1999:Q4,pct99to100,8213675,8630192,1062438,300680,3449308,222825,375864,1448581,1770496,416517,268478,38517,109522
1999:Q4,pct80to99,18070781,20871812,4510730,1115282,4879082,3123890,2086124,2227063,2929642,2801031,2074483,466103,260445
1999:Q4,pct60to80,6817192,8418427,2421938,657587,1062053,1812456,871819,424671,1167903,1601235,1125262,431988,43985
1999:Q4,pct40to60,3948750,4874410,1546117,451116,500107,998708,334978,268516,774868,925660,588063,321066,16531
1999:Q4,pct20to40,2691769,3165185,1092414,316986,279310,577099,92655,192703,614017,473417,269978,193571,9868
1999:Q4,pct00to20,1224907,1428495,562367,149442,125840,197044,10925,93304,289573,203588,97997,102377,3214
2000:Q1,pct99to100,8397895,8827284,1106147,309322,3615853,221832,392142,1432917,1749071,429389,276537,41745,111107
2000:Q1,pct80to99,18675818,21549267,4709146,1136224,5147289,3207941,2164484,2230831,2953352,2873449,2111499,463351,298599
2000:Q1,pct60to80,6996071,8589069,2494464,669137,1113888,1818709,898798,418237,1175836,1592998,1124636,426255,42107
2000:Q1,pct40to60,4012416,4950378,1568846,456632,525373,1017239,347793,253875,780620,937962,597689,322215,18058
2000:Q1,pct20to40,2739458,3219852,1136471,324292,284242,579566,96533,192944,605804,480394,274162,196372,9860
2000:Q1,pct00to20,1231571,1439593,575523,152311,135129,196534,10228,89088,280780,208023,101689,103827,2507
2000:Q2,pct99to100,8221687,8664905,1162127,319873,3359300,219749,390265,1498790,1714801,443218,285266,46873,111079
2000:Q2,pct80to99,18769412,21696012,4930099,1155759,4939751,3280553,2142919,2319017,2927915,2926600,2170819,476506,279275
2000:Q2,pct60to80,7029587,8647892,2577839,680295,1080210,1818885,881584,427001,1182078,1618304,1142598,437371,38335
2000:Q2,pct40to60,4049263,5011297,1611348,460987,517779,1033594,342694,259786,785108,962034,614012,330482,17540
