Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2003:Q4,NoHS,2327603,2719016,1142457,235488,143486,440979,84297,194302,478008,391413,273311,116033,2069
2004:Q1,College,31650452,36797653,10415632,1860410,7072854,4503842,2555534,3971998,6417383,5147201,3933865,910914,302422
2004:Q1,SomeCollege,8615479,10824124,3604373,789439,1102098,1756064,759870,1059610,1752669,2208645,1587065,549374,72206
2004:Q1,HS,7906353,9733708,3226807,848910,694074,1953293,670751,723039,1616835,1827355,1271625,522788,32942
2004:Q1,NoHS,2382081,2773752,1187180,239007,144343,430877,82750,197300,492296,391671,276133,113396,2142
2004:Q2,College,32116181,37447777,10780696,1897187,7057549,4609866,2583070,4191635,6327774,5331596,4093519,919129,318948
2004:Q2,SomeCollege,8783127,11064621,3753474,799511,1088912,1787397,771005,1139152,1725170,2281494,1655396,555105,70993
2004:Q2,HS,8035566,9907408,3292520,865552,679275,1996654,687260,765656,1620490,1871842,1310531,527315,33996
2004:Q2,NoHS,2399045,2796468,1218907,232864,138990,415854,80707,204411,504735,397423,281827,112989,2607
2004:Q3,College,32740548,38208989,11142963,1908006,7034537,4713150,2585883,4408306,6416143,5468440,4223223,938887,306330
2004:Q3,SomeCollege,9011018,11360053,3914264,808549,1075345,1819835,776980,1219832,1745248,2349034,1715535,567889,65610
2004:Q3,HS,8278292,10205652,3452389,873532,665278,2045513,702191,810207,1656541,1927360,1352527,542865,31968
2004:Q3,NoHS,2438209,2842451,1263460,237773,133765,401498,78774,211673,515508,404243,288207,115234,802
2004:Q4,College,34335926,39987998,11554671,1938951,7625974,4811426,2787084,4537020,6732872,5652072,4352829,960771,338472
2004:Q4,SomeCollege,9341527,11760452,4044097,828195,1156997,1893962,839895,1206376,1790929,2418924,1769225,581624,68075
2004:Q4,HS,8520039,10529029,3578921,891513,739459,2071351,741897,834366,1671522,2008990,1418731,558020,32239
2004:Q4,NoHS,2435515,2858736,1289843,239560,142770,385979,80520,212799,507266,423221,299794,119705,3722
2005:Q1,College,34854095,40579062,11909429,1956674,7645131,4871006,2791674,4677771,6727377,5724967,4433306,962482,329179
2005:Q1,SomeCollege,9512975,11969567,4174538,846801,1154609,1952245,840060,1198528,1802787,2456593,1813006,580289,63298
2005:Q1,HS,8688575,10770315,3745525,906349,746154,2081972,735207,864269,1690839,2081739,1505570,544905,31264
2005:Q1,NoHS,2419415,2857737,1304545,245315,143690,367091,79544,214826,502725,438322,316678,117298,4346
2005:Q2,College,35806156,41679097,12270377,1969760,7861920,4933055,2880699,4900228,6863058,5872940,4563463,973516,335961
2005:Q2,SomeCollege,9772652,12294547,4305893,868563,1182341,2014265,868895,1216959,1837632,2521895,1872250,587959,61686
2005:Q2,HS,8953138,11123590,3942372,921803,779687,2099575,751759,915911,1712483,2170452,1586482,551528,32442
2005:Q2,NoHS,2408284,2865133,1315654,258235,147733,349408,80012,220092,493999,456849,330564,119387,6898
2005:Q3,College,36828407,42852525,12669114,1979996,8270146,4989083,2996605,5149016,6798565,6024117,4692994,990344,340779
2005:Q3,SomeCollege,10050767,12642868,4466100,882796,1239154,2075440,904832,1244618,1829928,2592100,1932807,599695,59598
2005:Q3,HS,9238453,11507821,4138008,936832,840103,2118016,773666,976482,1724715,2269369,1671290,565278,32801
2005:Q3,NoHS,2402953,2879743,1338813,258292,154715,331723,80606,226579,489016,476790,344789,123069,8932
2005:Q4,College,37662003,43801057,13005241,1993532,8373103,5043595,3097424,5292202,6995960,6139054,4805972,1004486,328596
2005:Q4,SomeCollege,10296396,12948735,4598901,898708,1251031,2137512,937933,1241565,1883085,2652339,1986901,610532,54906
2005:Q4,HS,9491995,11856954,4323552,954864,863309,2138627,794814,1014382,1767406,2364960,1752259,578930,33771
2005:Q4,NoHS,2396457,2891443,1363969,259166,157487,314350,81307,229658,485506,494986,357735,126607,10644
2006:Q1,College,38986177,45294007,12988828,1999000,9461045,5101561,3191808,5370246,7181519,6307830,4945947,1008715,353168
2006:Q1,SomeCollege,10540589,13264922,4614876,919232,1410176,2202468,969824,1219814,1928532,2724333,2051790,615780,56763
2006:Q1,HS,9771109,12230388,4425328,970595,1019724,2163109,815707,1038083,1797843,2459280,1838172,584851,36257
2006:Q1,NoHS,2367757,2881131,1345602,271984,174229,297673,82038,230652,478953,513374,371029,128239,14106
2006:Q2,College,39010569,45470324,13155194,2011644,9181410,5151791,3186382,5540741,7243162,6459755,5076039,1014912,368804
2006:Q2,SomeCollege,10607887,13400988,4694121,935260,1365143,2264206,969159,1226350,1946748,2793101,2116020,620016,57065
2006:Q2,HS,9871500,12429976,4557762,989339,994259,2183392,811425,1084933,1808867,2558476,1933641,585928,38907
2006:Q2,NoHS,2327502,2859715,1347418,272987,171806,280218,81309,234910,471067,532212,386389,128755,17068
