Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2000:Q3,GenX,7.9,11.4,10.4,15.4,6.2,5.9,3.2,3,3.4,2,4,4.6,0.3,7.4,16.4,3.7,13.8,1.8,5.6,14.1,20.9,20.9,19.2,30.4,11.8,2,16.1,5.8,24684104
2000:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q4,Silent,49.9,43.2,44.4,38.1,53.2,62.9,60.3,67.6,65.5,74.6,69.3,68.2,76.8,55.9,31.7,34.9,30.6,55.2,52.4,38.3,22.5,22.5,21,17.3,37.5,65.2,30.9,54.4,36271754
2000:Q4,BabyBoom,42.3,45.1,45,45.9,40.9,30.7,35.9,29.4,31.3,23.3,27.4,28.1,22.8,37.4,51.3,62,57,43,42,47.3,55.9,55.9,59.3,51.9,49.4,32.1,51.5,40.1,43613406
2000:Q4,GenX,7.8,11.7,10.6,16,5.9,6.4,3.8,3,3.2,2.1,3.3,3.7,0.4,6.7,17.1,3.1,12.5,1.8,5.7,14.4,21.6,21.6,19.7,30.8,13.1,2.7,17.6,5.5,25099384
2000:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q1,Silent,49.6,42.7,43.9,37.5,53.2,61,58.2,68.7,65.6,75.1,70.6,69.7,76.1,56.9,31.4,34.6,32.3,54,52.3,37.8,22.1,22.1,20.5,16.8,38.2,70.8,30.5,54.2,35984617
2001:Q1,BabyBoom,42.7,45.5,45.4,46.1,41.2,31.7,37,28,30.7,22.6,26.1,26.4,23.7,37,50.8,62.8,57.9,44.3,42.1,47.5,55.8,55.9,59.3,52.2,49,25.9,51.8,40.5,43738326
2001:Q1,GenX,7.7,11.8,10.7,16.4,5.6,7.3,4.7,3.3,3.7,2.3,3.4,3.8,0.3,6.1,17.8,2.6,9.8,1.8,5.6,14.8,22,22.1,20.2,31,12.7,3.3,17.7,5.3,25512182
2001:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q2,Silent,48.8,42.1,43.3,37.1,52.3,60.7,58.6,68.7,65.2,75.2,70.2,69.4,75.3,55.6,31.1,32.7,31.5,52.9,52,37.5,21.5,21.5,19.8,16.2,39.1,70.8,30.1,53.4,35713301
2001:Q2,BabyBoom,43.1,45.8,45.7,46.3,41.7,31.8,36.9,27.9,30.9,22.4,26.6,26.9,24.5,37.7,50.3,64.6,57.7,45.2,42.3,47.3,56,56.1,59.5,52.4,48,25.9,51.6,41,43845815
2001:Q2,GenX,8,12.1,11,16.6,5.9,7.5,4.4,3.4,4,2.3,3.2,3.7,0.2,6.7,18.6,2.8,10.8,1.9,5.7,15.2,22.5,22.5,20.7,31.3,12.9,3.4,18.3,5.6,25922675
2001:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q3,Silent,48.5,41.3,42.4,36.7,52.5,60.2,57.9,67,63.3,75.2,64.3,62.9,74.6,57.4,30.6,32.1,33.6,52.1,51.8,37.2,21,21,19.4,15.6,40,62.7,29.8,53.4,35461444
2001:Q3,BabyBoom,43.5,46.2,46.2,46.3,42.1,32,37.4,29.7,33,22.4,33.4,34.5,25.3,37,49.7,65.5,58.8,45.9,42.4,47,55.8,55.8,58.6,52.6,45.5,34.6,50.1,41.4,43932085
2001:Q3,GenX,7.9,12.4,11.4,16.8,5.4,7.7,4.7,3.3,3.7,2.4,2.3,2.6,0.1,5.6,19.2,2.3,7.7,2,5.7,15.6,23,23,21.8,31.4,14.5,2.6,19.6,5.2,26331041
2001:Q3,Millennial,0.1,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.2,0.2,0.2,0.2,0.4,0,0,0.5,0,771266
2001:Q4,Silent,47.9,41,42.1,36.4,51.6,59.6,56.1,67.5,64.4,73.6,67.1,66.1,73.9,55.4,31.8,31.3,31.9,51.7,51,37.1,20.4,20.3,18.6,15.7,41.5,69.4,30.8,52.7,35231549
2001:Q4,BabyBoom,43.8,46.2,46.2,46.3,42.5,32.4,38.4,29.1,31.7,24,30.1,30.7,26,38.2,49.1,66.2,59,46.2,43.1,46.9,56.2,56.3,59.9,51.6,45.9,27.1,49.9,41.7,43994523
